epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,10354.8,0.22621,0.43237,0.84081,0.04583,0.04296,0.0115,0.00281,4.75199,3.52639,6.8426,0.00491833,0.00491833,0.00491833
84,10479.9,0.22171,0.4212,0.83779,0.05653,0.05011,0.01384,0.00293,4.71793,3.44143,6.8068,0.00491634,0.00491634,0.00491634
85,10604.9,0.22348,0.42041,0.83819,0.05637,0.05011,0.01491,0.00308,4.73278,3.48444,6.81076,0.00491432,0.00491432,0.00491432
86,10729.8,0.22697,0.43118,0.8407,0.04769,0.04028,0.01245,0.00289,4.78859,3.62914,6.97112,0.00491228,0.00491228,0.00491228
87,10855,0.22541,0.43466,0.83952,0.04611,0.04028,0.0115,0.00286,4.81969,3.66851,7.02306,0.00491022,0.00491022,0.00491022
88,10980.1,0.224,0.41911,0.83864,0.05016,0.04028,0.01185,0.00286,4.84307,3.68503,7.10013,0.00490813,0.00490813,0.00490813
89,11105.2,0.22393,0.43057,0.8415,0.03947,0.03314,0.00993,0.00274,4.84469,3.76563,7.09373,0.00490602,0.00490602,0.00490602
90,11230.3,0.22087,0.42501,0.8398,0.03849,0.03314,0.00908,0.00277,4.86049,3.69156,7.13954,0.00490388,0.00490388,0.00490388
91,11355.4,0.22202,0.4196,0.83917,0.03784,0.03289,0.00876,0.00265,4.85387,3.72733,7.12944,0.00490173,0.00490173,0.00490173
92,11480.4,0.22256,0.42513,0.83932,0.0337,0.03314,0.00889,0.00275,4.83922,3.63548,7.11892,0.00489955,0.00489955,0.00489955
93,11605.5,0.22118,0.42146,0.83956,0.03166,0.03314,0.00911,0.0027,4.86281,3.60098,7.19726,0.00489734,0.00489734,0.00489734
94,11730.6,0.22377,0.42474,0.83934,0.04612,0.03384,0.01077,0.00296,4.89984,3.57903,7.27081,0.00489511,0.00489511,0.00489511
95,11855.7,0.22194,0.42676,0.83971,0.05605,0.03838,0.01194,0.003,4.90611,3.56184,7.24543,0.00489286,0.00489286,0.00489286
96,11980.7,0.22215,0.4253,0.84018,0.03256,0.03384,0.0092,0.00267,4.90866,3.58885,7.20294,0.00489059,0.00489059,0.00489059
